"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","141","Update user - empty action field","QA|Nova Bank - Infopool","Wed Nov 26 18:47:11 UTC 2025","broken","Wed Nov 26 18:47:11 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","140","Update user - ID does not exist","QA|Nova Bank - Infopool","Wed Nov 26 18:47:11 UTC 2025","broken","Wed Nov 26 18:47:11 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","134","get user role","QA|Nova Bank - Infopool","Wed Nov 26 18:47:11 UTC 2025","broken","Wed Nov 26 18:47:12 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","145","Get profile - successfully","QA|Nova Bank - Infopool","Wed Nov 26 18:46:57 UTC 2025","broken","Wed Nov 26 18:46:58 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","138","Empty fields - Update definition","QA|Nova Bank - Infopool","Wed Nov 26 18:47:10 UTC 2025","broken","Wed Nov 26 18:47:10 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","147","Update profile - no phone number","QA|Nova Bank - Infopool","Wed Nov 26 18:46:58 UTC 2025","broken","Wed Nov 26 18:46:58 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","142","Update role status - role does not exist","QA|Nova Bank - Infopool","Wed Nov 26 18:47:19 UTC 2025","broken","Wed Nov 26 18:47:19 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","148","Get Report Data - Question","QA|Nova Bank - Infopool","Wed Nov 26 18:47:25 UTC 2025","broken","Wed Nov 26 18:47:25 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","141","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Wed Nov 26 18:47:19 UTC 2025","broken","Wed Nov 26 18:47:19 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","138","Send user invitation token - successful","QA|Nova Bank - Infopool","Wed Nov 26 18:47:00 UTC 2025","broken","Wed Nov 26 18:47:00 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","146","Get all definitions","QA|Nova Bank - Infopool","Wed Nov 26 18:47:09 UTC 2025","broken","Wed Nov 26 18:47:09 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","148","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed Nov 26 18:47:09 UTC 2025","broken","Wed Nov 26 18:47:09 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","136","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Nov 26 18:47:06 UTC 2025","broken","Wed Nov 26 18:47:06 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","145","Get events - successful","QA|Nova Bank - Infopool","Wed Nov 26 18:46:59 UTC 2025","broken","Wed Nov 26 18:46:59 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"Update an existing report","144","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed Nov 26 18:47:24 UTC 2025","broken","Wed Nov 26 18:47:24 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","184","No auth - Create a New Issue","QA|Nova Bank - Infopool","Wed Nov 26 18:47:01 UTC 2025","broken","Wed Nov 26 18:47:02 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","144","Update Issue","QA|Nova Bank - Infopool","Wed Nov 26 18:47:03 UTC 2025","broken","Wed Nov 26 18:47:03 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","135","Get events - no auth","QA|Nova Bank - Infopool","Wed Nov 26 18:46:59 UTC 2025","broken","Wed Nov 26 18:46:59 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","142","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed Nov 26 18:47:08 UTC 2025","broken","Wed Nov 26 18:47:08 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","140","Update profile - successful","QA|Nova Bank - Infopool","Wed Nov 26 18:46:58 UTC 2025","broken","Wed Nov 26 18:46:58 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"Get a paginated list of reports with optional filtering","138","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Wed Nov 26 18:47:22 UTC 2025","broken","Wed Nov 26 18:47:22 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","165","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Nov 26 18:46:56 UTC 2025","broken","Wed Nov 26 18:46:56 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","136","Update user - successful","QA|Nova Bank - Infopool","Wed Nov 26 18:47:11 UTC 2025","broken","Wed Nov 26 18:47:11 UTC 2025","v1 > Users > Update user","Bank Admin","",""
