"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","113","verify OTP","QA|Nova Bank - Infopool","Sun May 25 15:26:49 GMT 2025","passed","Sun May 25 15:26:49 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","82","Create organization - empty city value","QA|Nova Bank - Infopool","Sun May 25 15:27:00 GMT 2025","failed","Sun May 25 15:27:00 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Update user - no auth","QA|Nova Bank - Infopool","Sun May 25 15:26:58 GMT 2025","passed","Sun May 25 15:26:59 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","86","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun May 25 15:26:48 GMT 2025","passed","Sun May 25 15:26:48 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","83","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun May 25 15:26:50 GMT 2025","passed","Sun May 25 15:26:50 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","84","Update profile - no auth","QA|Nova Bank - Infopool","Sun May 25 15:26:50 GMT 2025","passed","Sun May 25 15:26:50 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","84","Empty current password - Change password","QA|Nova Bank - Infopool","Sun May 25 15:26:49 GMT 2025","failed","Sun May 25 15:26:49 GMT 2025","v1 > Profile > Password","Bank User","",""
"","81","Get events - successful","QA|Nova Bank - Infopool","Sun May 25 15:26:50 GMT 2025","failed","Sun May 25 15:26:50 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get a paginated list of reports with optional filtering","78","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun May 25 15:27:11 GMT 2025","passed","Sun May 25 15:27:11 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Delete a report (soft delete)","80","Delete Report -No auth","QA|Nova Bank - Infopool","Sun May 25 15:27:13 GMT 2025","failed","Sun May 25 15:27:13 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","80","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun May 25 15:27:00 GMT 2025","failed","Sun May 25 15:27:00 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","Create roles - Existing role","QA|Nova Bank - Infopool","Sun May 25 15:27:09 GMT 2025","failed","Sun May 25 15:27:09 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","79","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun May 25 15:26:56 GMT 2025","passed","Sun May 25 15:26:56 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","81","Get Report Data - Question","QA|Nova Bank - Infopool","Sun May 25 15:27:13 GMT 2025","failed","Sun May 25 15:27:13 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","84","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun May 25 15:26:56 GMT 2025","passed","Sun May 25 15:26:56 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Get a paginated list of reports with optional filtering","81","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun May 25 15:27:11 GMT 2025","failed","Sun May 25 15:27:11 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","82","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun May 25 15:26:54 GMT 2025","failed","Sun May 25 15:26:54 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","79","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun May 25 15:26:58 GMT 2025","passed","Sun May 25 15:26:58 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","79","Get roles - No Auth","QA|Nova Bank - Infopool","Sun May 25 15:27:09 GMT 2025","passed","Sun May 25 15:27:09 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
