"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55","No auth - category by id","QA|Nova Bank - Infopool","Wed Dec 10 18:52:54 UTC 2025","broken","Wed Dec 10 18:52:54 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"Get a specific report by ID","66","Get Report by ID - No auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:55 UTC 2025","broken","Wed Dec 10 18:52:55 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","77","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:51 UTC 2025","broken","Wed Dec 10 18:52:51 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","77","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Wed Dec 10 18:52:56 UTC 2025","broken","Wed Dec 10 18:52:56 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get a paginated list of reports with optional filtering","62","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:55 UTC 2025","broken","Wed Dec 10 18:52:55 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","66","Fetch all users","QA|Nova Bank - Infopool","Wed Dec 10 18:52:49 UTC 2025","broken","Wed Dec 10 18:52:49 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","53","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:52 UTC 2025","broken","Wed Dec 10 18:52:53 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","77","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Wed Dec 10 18:52:46 UTC 2025","broken","Wed Dec 10 18:52:46 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"Get a specific report by ID","55","Get Report by UUID","QA|Nova Bank - Infopool","Wed Dec 10 18:52:55 UTC 2025","broken","Wed Dec 10 18:52:55 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","60","Update user - no auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:49 UTC 2025","broken","Wed Dec 10 18:52:49 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","67","Update user - ID does not exist","QA|Nova Bank - Infopool","Wed Dec 10 18:52:49 UTC 2025","broken","Wed Dec 10 18:52:49 UTC 2025","v1 > Users > Update user","Bank Admin","",""
