"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Create roles - empty name field","QA|Nova Bank - Infopool","Thu Jun 05 23:38:00 GMT 2025","passed","Thu Jun 05 23:38:00 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","63","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 23:36:46 GMT 2025","passed","Thu Jun 05 23:36:46 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","138","Fetch Customer By ID","QA|Nova Bank - Infopool","Thu Jun 05 23:36:51 GMT 2025","passed","Thu Jun 05 23:36:51 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get a paginated list of reports with optional filtering","27","Get Report Objects - Question","QA|Nova Bank - Infopool","Thu Jun 05 23:38:00 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get a specific report by ID","25","Get Report by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","55","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 23:36:51 GMT 2025","passed","Thu Jun 05 23:36:51 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","137","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:36:38 GMT 2025","failed","Thu Jun 05 23:36:38 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","753","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Thu Jun 05 23:36:52 GMT 2025","passed","Thu Jun 05 23:36:52 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","40","Empty new password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 23:36:40 GMT 2025","passed","Thu Jun 05 23:36:40 GMT 2025","v1 > Profile > Password","Bank User","",""
"","106","No auth - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:36:43 GMT 2025","passed","Thu Jun 05 23:36:43 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","25","search Corporate Adjustment","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","","corporate Adjustment","",""
"","27","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","39","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 23:36:42 GMT 2025","passed","Thu Jun 05 23:36:42 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","155","Forgot password - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:36:36 GMT 2025","failed","Thu Jun 05 23:36:36 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
