"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","136","managers","QA|Nova Bank - Infopool","Sun Nov 09 20:11:13 UTC 2025","broken","Sun Nov 09 20:11:13 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","145","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Nov 09 20:11:11 UTC 2025","broken","Sun Nov 09 20:11:12 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Delete a report (soft delete)","146","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Nov 09 20:11:20 UTC 2025","broken","Sun Nov 09 20:11:20 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","149","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Nov 09 20:10:57 UTC 2025","broken","Sun Nov 09 20:10:57 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","140","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Nov 09 20:11:00 UTC 2025","broken","Sun Nov 09 20:11:01 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","143","Change password - successful","QA|Nova Bank - Infopool","Sun Nov 09 20:10:50 UTC 2025","broken","Sun Nov 09 20:10:50 UTC 2025","v1 > Profile > Password","Bank User","",""
"","138","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Nov 09 20:11:00 UTC 2025","broken","Sun Nov 09 20:11:00 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","148","audit-search","QA|Nova Bank - Infopool","Sun Nov 09 20:10:53 UTC 2025","broken","Sun Nov 09 20:10:54 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","143","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Nov 09 20:11:10 UTC 2025","broken","Sun Nov 09 20:11:11 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","143","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Nov 09 20:11:08 UTC 2025","broken","Sun Nov 09 20:11:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","147","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Nov 09 20:10:55 UTC 2025","broken","Sun Nov 09 20:10:55 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","136","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Nov 09 20:11:13 UTC 2025","broken","Sun Nov 09 20:11:13 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","143","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Nov 09 20:11:08 UTC 2025","broken","Sun Nov 09 20:11:09 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","142","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Nov 09 20:10:55 UTC 2025","broken","Sun Nov 09 20:10:55 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","144","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Nov 09 20:10:56 UTC 2025","broken","Sun Nov 09 20:10:56 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","147","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Nov 09 20:11:20 UTC 2025","broken","Sun Nov 09 20:11:21 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","145","Create organization - no name","QA|Nova Bank - Infopool","Sun Nov 09 20:11:08 UTC 2025","broken","Sun Nov 09 20:11:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
