"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:29:44 GMT 2025","passed","Sun Jun 08 21:29:44 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","238","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:29:47 GMT 2025","passed","Sun Jun 08 21:29:47 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","77","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 21:29:41 GMT 2025","passed","Sun Jun 08 21:29:41 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","406","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 21:28:10 GMT 2025","passed","Sun Jun 08 21:28:11 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","156","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 21:28:08 GMT 2025","passed","Sun Jun 08 21:28:09 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","123","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Jun 08 21:28:23 GMT 2025","passed","Sun Jun 08 21:28:24 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","131","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 21:29:46 GMT 2025","passed","Sun Jun 08 21:29:46 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","148","No user credentials","QA|Nova Bank - Infopool","Sun Jun 08 21:27:54 GMT 2025","passed","Sun Jun 08 21:27:54 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","75","Update definition","QA|Nova Bank - Infopool","Sun Jun 08 21:29:41 GMT 2025","passed","Sun Jun 08 21:29:41 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","79","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:28:26 GMT 2025","passed","Sun Jun 08 21:28:26 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","78","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:29:43 GMT 2025","passed","Sun Jun 08 21:29:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","159","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:29:47 GMT 2025","passed","Sun Jun 08 21:29:47 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","369","Create_issue_without_attachment","QA|Nova Bank - Infopool","Sun Jun 08 21:28:14 GMT 2025","failed","Sun Jun 08 21:28:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
