"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 23:06:45 GMT 2025","passed","Thu Jun 05 23:06:45 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","98","Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:06:56 GMT 2025","passed","Thu Jun 05 23:06:56 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","98","No Auth - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:06:56 GMT 2025","passed","Thu Jun 05 23:06:56 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","3155","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 23:08:03 GMT 2025","passed","Thu Jun 05 23:08:07 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","201","Forgot password - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:06:38 GMT 2025","failed","Thu Jun 05 23:06:38 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","77","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Thu Jun 05 23:08:13 GMT 2025","passed","Thu Jun 05 23:08:14 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","102","Send user invitation token - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:06:44 GMT 2025","passed","Thu Jun 05 23:06:44 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","79","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Thu Jun 05 23:08:16 GMT 2025","passed","Thu Jun 05 23:08:16 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","80","Update definition","QA|Nova Bank - Infopool","Thu Jun 05 23:08:10 GMT 2025","passed","Thu Jun 05 23:08:11 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","114","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 23:06:45 GMT 2025","passed","Thu Jun 05 23:06:45 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","144","Get events - invalid end date","QA|Nova Bank - Infopool","Thu Jun 05 23:06:43 GMT 2025","passed","Thu Jun 05 23:06:43 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","78","Create  organization - without parent id","QA|Nova Bank - Infopool","Thu Jun 05 23:08:12 GMT 2025","passed","Thu Jun 05 23:08:12 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","88","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:06:39 GMT 2025","passed","Thu Jun 05 23:06:39 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","78","update role","QA|Nova Bank - Infopool","Thu Jun 05 23:08:12 GMT 2025","passed","Thu Jun 05 23:08:12 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","105","Get roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:08:16 GMT 2025","passed","Thu Jun 05 23:08:16 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","85","Update profile - no auth","QA|Nova Bank - Infopool","Thu Jun 05 23:06:42 GMT 2025","passed","Thu Jun 05 23:06:42 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","78","Update user - ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:08:11 GMT 2025","passed","Thu Jun 05 23:08:11 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","80","Fetch all users","QA|Nova Bank - Infopool","Thu Jun 05 23:08:11 GMT 2025","passed","Thu Jun 05 23:08:11 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","697","reset password","QA|Nova Bank - Infopool","Thu Jun 05 23:06:38 GMT 2025","passed","Thu Jun 05 23:06:39 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","79","Health","QA|Nova Bank - Infopool","Thu Jun 05 23:08:10 GMT 2025","passed","Thu Jun 05 23:08:10 GMT 2025","v1 > Health","Bank Admin","",""
"","303","Get events - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:06:43 GMT 2025","passed","Thu Jun 05 23:06:43 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","81","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 23:08:10 GMT 2025","passed","Thu Jun 05 23:08:10 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","81","Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 23:08:10 GMT 2025","passed","Thu Jun 05 23:08:10 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","109","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:06:39 GMT 2025","failed","Thu Jun 05 23:06:39 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","78","get user role","QA|Nova Bank - Infopool","Thu Jun 05 23:08:12 GMT 2025","passed","Thu Jun 05 23:08:12 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","190","Update organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:08:14 GMT 2025","passed","Thu Jun 05 23:08:14 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","79","Fetch user by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:08:11 GMT 2025","passed","Thu Jun 05 23:08:11 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","79","No auth - Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 23:08:12 GMT 2025","passed","Thu Jun 05 23:08:12 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","142","Empty current password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 23:06:41 GMT 2025","passed","Thu Jun 05 23:06:41 GMT 2025","v1 > Profile > Password","Bank User","",""
"","85","No Auth - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:06:54 GMT 2025","passed","Thu Jun 05 23:06:54 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","104","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Thu Jun 05 23:08:14 GMT 2025","failed","Thu Jun 05 23:08:14 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","115","Update profile - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:06:42 GMT 2025","passed","Thu Jun 05 23:06:42 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","82","No email - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 23:06:38 GMT 2025","passed","Thu Jun 05 23:06:38 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","111","Add user to an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:08:15 GMT 2025","passed","Thu Jun 05 23:08:15 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
