"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","passed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","422","Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 19:03:56 GMT 2025","passed","Thu Jun 05 19:03:57 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","83","Get all Issues","QA|Nova Bank - Infopool","Thu Jun 05 19:03:57 GMT 2025","failed","Thu Jun 05 19:03:57 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","33","Get permission by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:14 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Update an existing report","29","Update Report","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","91","Get events - invalid end date","QA|Nova Bank - Infopool","Thu Jun 05 19:03:56 GMT 2025","passed","Thu Jun 05 19:03:56 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","89","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Thu Jun 05 19:03:56 GMT 2025","passed","Thu Jun 05 19:03:56 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","41","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 19:03:54 GMT 2025","passed","Thu Jun 05 19:03:54 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","31","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 19:05:12 GMT 2025","passed","Thu Jun 05 19:05:12 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","32","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:14 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","31","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","31","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 19:05:12 GMT 2025","passed","Thu Jun 05 19:05:12 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","39","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 19:03:54 GMT 2025","passed","Thu Jun 05 19:03:54 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","113","Weak password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 19:03:55 GMT 2025","passed","Thu Jun 05 19:03:55 GMT 2025","v1 > Profile > Password","Bank User","",""
"","31","Get roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:14 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","37","Update profile - no auth","QA|Nova Bank - Infopool","Thu Jun 05 19:03:55 GMT 2025","passed","Thu Jun 05 19:03:55 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","35","Add user to an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","83","Forgot password - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:03:53 GMT 2025","failed","Thu Jun 05 19:03:53 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get a paginated list of reports with optional filtering","30","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","68","Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 19:03:54 GMT 2025","passed","Thu Jun 05 19:03:54 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","49","Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","failed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","32","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","36","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","failed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","36","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Thu Jun 05 19:03:59 GMT 2025","passed","Thu Jun 05 19:03:59 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","35","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","33","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","34","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 19:03:59 GMT 2025","failed","Thu Jun 05 19:03:59 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","34","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","219","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 19:03:57 GMT 2025","passed","Thu Jun 05 19:03:57 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","31","Update user - ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 19:05:12 GMT 2025","passed","Thu Jun 05 19:05:12 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","34","Empty fields - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 19:05:12 GMT 2025","passed","Thu Jun 05 19:05:12 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","39","Update Customer Comment Copy","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","passed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Update an existing report","31","Update Report - No auth","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","44","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","passed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
