"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3183","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Jun 01 15:55:53 GMT 2025","passed","Sun Jun 01 15:55:56 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","88","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun Jun 01 15:56:19 GMT 2025","passed","Sun Jun 01 15:56:19 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","80","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 01 15:56:00 GMT 2025","failed","Sun Jun 01 15:56:00 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","83","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 01 15:56:00 GMT 2025","passed","Sun Jun 01 15:56:00 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","83","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 01 15:55:50 GMT 2025","passed","Sun Jun 01 15:55:51 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","94","Get Reports","QA|Nova Bank - Infopool","Sun Jun 01 15:56:20 GMT 2025","passed","Sun Jun 01 15:56:20 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","86","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 01 15:55:46 GMT 2025","passed","Sun Jun 01 15:55:46 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","78","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 01 15:56:19 GMT 2025","passed","Sun Jun 01 15:56:19 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","79","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Jun 01 15:56:06 GMT 2025","passed","Sun Jun 01 15:56:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","80","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 01 15:56:29 GMT 2025","passed","Sun Jun 01 15:56:29 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","84","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Jun 01 15:56:30 GMT 2025","failed","Sun Jun 01 15:56:30 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","83","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 01 15:56:13 GMT 2025","passed","Sun Jun 01 15:56:13 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","10","New Request","QA|Nova Bank - Infopool","Sun Jun 01 15:56:06 GMT 2025","broken","Sun Jun 01 15:56:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","126","Create  organization","QA|Nova Bank - Infopool","Sun Jun 01 15:56:14 GMT 2025","passed","Sun Jun 01 15:56:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","76","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 01 15:56:17 GMT 2025","passed","Sun Jun 01 15:56:17 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","80","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 01 15:56:18 GMT 2025","passed","Sun Jun 01 15:56:18 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","87","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 01 15:55:46 GMT 2025","passed","Sun Jun 01 15:55:46 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","145","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Jun 01 15:56:05 GMT 2025","passed","Sun Jun 01 15:56:05 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","3184","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 01 15:55:56 GMT 2025","passed","Sun Jun 01 15:55:59 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","131","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 01 15:55:50 GMT 2025","passed","Sun Jun 01 15:55:50 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","87","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Jun 01 15:55:49 GMT 2025","passed","Sun Jun 01 15:55:49 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","88","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 01 15:56:15 GMT 2025","passed","Sun Jun 01 15:56:15 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun Jun 01 15:55:59 GMT 2025","passed","Sun Jun 01 15:55:59 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Delete a report (soft delete)","78","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Jun 01 15:56:29 GMT 2025","failed","Sun Jun 01 15:56:29 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
