"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 23:47:43 GMT 2025","passed","Thu Jun 05 23:47:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","209","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:47:37 GMT 2025","failed","Thu Jun 05 23:47:38 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","33","No Auth - Get all permissions","QA|Nova Bank - Infopool","Thu Jun 05 23:49:02 GMT 2025","passed","Thu Jun 05 23:49:02 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Get a specific report by ID","31","Get Report by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:49:03 GMT 2025","passed","Thu Jun 05 23:49:03 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","88","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:47:51 GMT 2025","passed","Thu Jun 05 23:47:52 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","54","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 23:47:52 GMT 2025","failed","Thu Jun 05 23:47:52 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","34","Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","37","Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 23:48:59 GMT 2025","passed","Thu Jun 05 23:48:59 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","33","Update role status - role does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:49:02 GMT 2025","passed","Thu Jun 05 23:49:02 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","47","Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:47:52 GMT 2025","failed","Thu Jun 05 23:47:52 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
