"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a specific report by ID","346","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Wed May 14 16:11:56 GMT 2025","failed","Wed May 14 16:11:56 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","4","New Request","QA|Nova Bank - Infopool","Wed May 14 16:11:50 GMT 2025","broken","Wed May 14 16:11:50 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","60","Create organization - empty street value","QA|Nova Bank - Infopool","Wed May 14 16:11:52 GMT 2025","failed","Wed May 14 16:11:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","54","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Wed May 14 16:11:40 GMT 2025","passed","Wed May 14 16:11:40 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Create a new report","57","Create Report - Duplicate name","QA|Nova Bank - Infopool","Wed May 14 16:12:03 GMT 2025","failed","Wed May 14 16:12:03 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","58","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed May 14 16:11:52 GMT 2025","failed","Wed May 14 16:11:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","61","Create roles - Existing role","QA|Nova Bank - Infopool","Wed May 14 16:11:54 GMT 2025","failed","Wed May 14 16:11:54 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","62","Invalid email format","QA|Nova Bank - Infopool","Wed May 14 16:11:37 GMT 2025","passed","Wed May 14 16:11:37 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","56","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Wed May 14 16:11:38 GMT 2025","passed","Wed May 14 16:11:38 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","57","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed May 14 16:11:42 GMT 2025","failed","Wed May 14 16:11:42 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","54","No auth - managers","QA|Nova Bank - Infopool","Wed May 14 16:11:54 GMT 2025","passed","Wed May 14 16:11:54 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","60","Create organization - empty description","QA|Nova Bank - Infopool","Wed May 14 16:11:52 GMT 2025","failed","Wed May 14 16:11:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","53","No Auth - Get all permissions","QA|Nova Bank - Infopool","Wed May 14 16:11:55 GMT 2025","passed","Wed May 14 16:11:55 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","53","audit trail - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:11:40 GMT 2025","passed","Wed May 14 16:11:40 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
