"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","failed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","58","Create roles - No auth","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","passed","Sat May 24 01:38:41 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","61","Update profile - No Auth","QA|Nova Bank - Infopool","Sat May 24 01:38:31 GMT 2025","passed","Sat May 24 01:38:31 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","119","Forgot password - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:29 GMT 2025","failed","Sat May 24 01:38:29 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","59","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","passed","Sat May 24 01:38:30 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","61","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sat May 24 01:38:44 GMT 2025","failed","Sat May 24 01:38:44 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","59","No auth - Create  organization","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","passed","Sat May 24 01:38:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","68","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","passed","Sat May 24 01:38:30 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","60","Empty fields - Update definition","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","failed","Sat May 24 01:38:37 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","58","No Auth - Update definition","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","passed","Sat May 24 01:38:37 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","59","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","failed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","62","Change password - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","failed","Sat May 24 01:38:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"","58","category by id","QA|Nova Bank - Infopool","Sat May 24 01:38:42 GMT 2025","failed","Sat May 24 01:38:42 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","58","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","failed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","58","No auth - update role","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","passed","Sat May 24 01:38:38 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","60","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","passed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Get a paginated list of reports with optional filtering","62","Get Reports","QA|Nova Bank - Infopool","Sat May 24 01:38:42 GMT 2025","failed","Sat May 24 01:38:42 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","104","Get Report Data - No auth","QA|Nova Bank - Infopool","Sat May 24 01:38:44 GMT 2025","passed","Sat May 24 01:38:44 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","68","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","passed","Sat May 24 01:38:30 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","61","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","failed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","61","Get all Issues","QA|Nova Bank - Infopool","Sat May 24 01:38:34 GMT 2025","failed","Sat May 24 01:38:34 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","60","Get events - invalid start date","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","failed","Sat May 24 01:38:32 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","58","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","passed","Sat May 24 01:38:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","58","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","failed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","63","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sat May 24 01:38:34 GMT 2025","failed","Sat May 24 01:38:34 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","60","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","failed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
