"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3164","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri May 30 21:00:46 GMT 2025","passed","Fri May 30 21:00:49 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","79","Get events - no auth","QA|Nova Bank - Infopool","Fri May 30 21:00:43 GMT 2025","passed","Fri May 30 21:00:43 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","82","Export Report Data - No auth","QA|Nova Bank - Infopool","Fri May 30 21:01:21 GMT 2025","passed","Fri May 30 21:01:21 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","127","update role","QA|Nova Bank - Infopool","Fri May 30 21:01:06 GMT 2025","passed","Fri May 30 21:01:07 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","88","Create organization - name already exists","QA|Nova Bank - Infopool","Fri May 30 21:01:07 GMT 2025","passed","Fri May 30 21:01:07 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","91","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri May 30 21:00:59 GMT 2025","passed","Fri May 30 21:00:59 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","111","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 21:00:39 GMT 2025","passed","Fri May 30 21:00:40 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","82","Add attachment to issue","QA|Nova Bank - Infopool","Fri May 30 21:00:53 GMT 2025","failed","Fri May 30 21:00:53 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","84","Get Report Data - No auth","QA|Nova Bank - Infopool","Fri May 30 21:01:21 GMT 2025","passed","Fri May 30 21:01:21 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","83","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri May 30 21:00:43 GMT 2025","passed","Fri May 30 21:00:43 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","82","Invalid name - Search Customers","QA|Nova Bank - Infopool","Fri May 30 21:00:54 GMT 2025","failed","Fri May 30 21:00:54 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","96","Add Comment to Customer","QA|Nova Bank - Infopool","Fri May 30 21:00:53 GMT 2025","failed","Fri May 30 21:00:53 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","88","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri May 30 21:01:08 GMT 2025","passed","Fri May 30 21:01:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","98","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri May 30 21:01:09 GMT 2025","passed","Fri May 30 21:01:10 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","88","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri May 30 21:01:09 GMT 2025","passed","Fri May 30 21:01:09 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","88","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri May 30 21:01:09 GMT 2025","passed","Fri May 30 21:01:09 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","79","No Auth - Get all permissions","QA|Nova Bank - Infopool","Fri May 30 21:01:12 GMT 2025","passed","Fri May 30 21:01:12 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Create a new report","85","Create Report","QA|Nova Bank - Infopool","Fri May 30 21:01:17 GMT 2025","failed","Fri May 30 21:01:17 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","3151","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri May 30 21:01:00 GMT 2025","passed","Fri May 30 21:01:03 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","77","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri May 30 21:00:54 GMT 2025","passed","Fri May 30 21:00:54 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","80","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 21:01:09 GMT 2025","passed","Fri May 30 21:01:09 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","80","No auth - get all category","QA|Nova Bank - Infopool","Fri May 30 21:01:12 GMT 2025","passed","Fri May 30 21:01:12 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","80","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri May 30 21:00:54 GMT 2025","failed","Fri May 30 21:00:54 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","90","Create organization - empty description","QA|Nova Bank - Infopool","Fri May 30 21:01:07 GMT 2025","passed","Fri May 30 21:01:07 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri May 30 21:01:08 GMT 2025","passed","Fri May 30 21:01:08 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","80","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri May 30 21:00:58 GMT 2025","passed","Fri May 30 21:00:58 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Update an existing report","84","Update Report - Invalid id","QA|Nova Bank - Infopool","Fri May 30 21:01:20 GMT 2025","failed","Fri May 30 21:01:20 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Delete a report (soft delete)","80","Delete Report","QA|Nova Bank - Infopool","Fri May 30 21:01:20 GMT 2025","failed","Fri May 30 21:01:21 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","76","Get roles - successful","QA|Nova Bank - Infopool","Fri May 30 21:01:11 GMT 2025","passed","Fri May 30 21:01:11 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","79","No auth - Update role status","QA|Nova Bank - Infopool","Fri May 30 21:01:11 GMT 2025","passed","Fri May 30 21:01:11 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","81","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Fri May 30 21:01:11 GMT 2025","failed","Fri May 30 21:01:11 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","86","Create organization - empty city value","QA|Nova Bank - Infopool","Fri May 30 21:01:08 GMT 2025","passed","Fri May 30 21:01:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","84","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Fri May 30 21:01:13 GMT 2025","failed","Fri May 30 21:01:13 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","90","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri May 30 21:01:07 GMT 2025","passed","Fri May 30 21:01:07 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
