"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Jun 08 21:43:02 GMT 2025","passed","Sun Jun 08 21:43:02 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","33","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Create a new report","36","Create Report","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","54","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:43:15 GMT 2025","failed","Sun Jun 08 21:43:16 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","33","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","52","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:43:02 GMT 2025","passed","Sun Jun 08 21:43:02 GMT 2025","v1 > Profile > Password","Bank User","",""
"","238","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Jun 08 21:43:03 GMT 2025","passed","Sun Jun 08 21:43:03 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","34","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 21:44:35 GMT 2025","passed","Sun Jun 08 21:44:35 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","31","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","30","No auth - category by id","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","32","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:44:35 GMT 2025","passed","Sun Jun 08 21:44:35 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
