"","76","Logout session - no session","QA|Nova Bank - Infopool","Wed Oct 08 18:49:45 UTC 2025","failed","Wed Oct 08 18:49:45 UTC 2025","v1 > Logout","Bank Admin","",""
"","77","Get roles - successful","QA|Nova Bank - Infopool","Wed Oct 08 18:49:37 UTC 2025","passed","Wed Oct 08 18:49:38 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","82","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Wed Oct 08 18:49:22 UTC 2025","failed","Wed Oct 08 18:49:22 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","182","No auth - Create a New Issue","QA|Nova Bank - Infopool","Wed Oct 08 18:49:22 UTC 2025","failed","Wed Oct 08 18:49:22 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","76","audit-search","QA|Nova Bank - Infopool","Wed Oct 08 18:49:20 UTC 2025","passed","Wed Oct 08 18:49:20 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","79","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed Oct 08 18:49:32 UTC 2025","failed","Wed Oct 08 18:49:32 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","79","audit trail","QA|Nova Bank - Infopool","Wed Oct 08 18:49:20 UTC 2025","failed","Wed Oct 08 18:49:20 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","80","No Auth - Update Issue","QA|Nova Bank - Infopool","Wed Oct 08 18:49:23 UTC 2025","failed","Wed Oct 08 18:49:23 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","79","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Wed Oct 08 18:49:23 UTC 2025","failed","Wed Oct 08 18:49:23 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","80","Delete Customer Comment","QA|Nova Bank - Infopool","Wed Oct 08 18:49:24 UTC 2025","failed","Wed Oct 08 18:49:24 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","78","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Oct 08 18:49:24 UTC 2025","passed","Wed Oct 08 18:49:24 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","80","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Oct 08 18:49:23 UTC 2025","failed","Wed Oct 08 18:49:23 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","82","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Oct 08 18:49:18 UTC 2025","failed","Wed Oct 08 18:49:18 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a paginated list of reports with optional filtering","81","Get Reports","QA|Nova Bank - Infopool","Wed Oct 08 18:49:45 UTC 2025","failed","Wed Oct 08 18:49:46 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","79","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Wed Oct 08 18:49:36 UTC 2025","failed","Wed Oct 08 18:49:36 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","79","Logout session successfully","QA|Nova Bank - Infopool","Wed Oct 08 18:49:45 UTC 2025","failed","Wed Oct 08 18:49:45 UTC 2025","v1 > Logout","Bank Admin","",""
"Get a specific report by ID","79","Get Report by UUID","QA|Nova Bank - Infopool","Wed Oct 08 18:49:46 UTC 2025","failed","Wed Oct 08 18:49:46 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","80","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:36 UTC 2025","failed","Wed Oct 08 18:49:36 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Delete a report (soft delete)","79","Delete Report - Invalid id","QA|Nova Bank - Infopool","Wed Oct 08 18:49:47 UTC 2025","failed","Wed Oct 08 18:49:47 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Oct 08 18:49:18 UTC 2025","failed","Wed Oct 08 18:49:18 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","89","Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Oct 08 18:49:17 UTC 2025","failed","Wed Oct 08 18:49:18 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","78","Create roles","QA|Nova Bank - Infopool","Wed Oct 08 18:49:38 UTC 2025","failed","Wed Oct 08 18:49:38 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","77","Fetch Customers Channels","QA|Nova Bank - Infopool","Wed Oct 08 18:49:32 UTC 2025","failed","Wed Oct 08 18:49:32 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","81","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Wed Oct 08 18:49:36 UTC 2025","failed","Wed Oct 08 18:49:36 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","78","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:33 UTC 2025","passed","Wed Oct 08 18:49:33 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","78","Get Reports Stats","QA|Nova Bank - Infopool","Wed Oct 08 18:49:46 UTC 2025","failed","Wed Oct 08 18:49:46 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","80","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Wed Oct 08 18:49:25 UTC 2025","failed","Wed Oct 08 18:49:25 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
