"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","86","Update profile - no phone number","QA|Nova Bank - Infopool","Tue Jun 03 17:59:46 GMT 2025","passed","Tue Jun 03 17:59:46 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","80","No Auth - Get all Issues","QA|Nova Bank - Infopool","Tue Jun 03 17:59:52 GMT 2025","passed","Tue Jun 03 17:59:52 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","109","Remove user from an organization - successful","QA|Nova Bank - Infopool","Tue Jun 03 18:00:14 GMT 2025","passed","Tue Jun 03 18:00:14 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","170","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Tue Jun 03 18:00:02 GMT 2025","passed","Tue Jun 03 18:00:02 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","82","Update Customer Comment","QA|Nova Bank - Infopool","Tue Jun 03 17:59:57 GMT 2025","failed","Tue Jun 03 17:59:57 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","148","Get events - invalid start date","QA|Nova Bank - Infopool","Tue Jun 03 17:59:46 GMT 2025","passed","Tue Jun 03 17:59:46 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","81","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Tue Jun 03 18:00:13 GMT 2025","failed","Tue Jun 03 18:00:13 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","125","verifyOTP","QA|Nova Bank - Infopool","Tue Jun 03 17:59:42 GMT 2025","passed","Tue Jun 03 17:59:42 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","190","Get events - successful","QA|Nova Bank - Infopool","Tue Jun 03 17:59:46 GMT 2025","passed","Tue Jun 03 17:59:46 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","88","Create  organization - without parent id","QA|Nova Bank - Infopool","Tue Jun 03 18:00:11 GMT 2025","passed","Tue Jun 03 18:00:11 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","87","Create organization - empty city value","QA|Nova Bank - Infopool","Tue Jun 03 18:00:12 GMT 2025","passed","Tue Jun 03 18:00:12 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","2899","Fetch Customers Transactions","QA|Nova Bank - Infopool","Tue Jun 03 17:59:59 GMT 2025","passed","Tue Jun 03 18:00:02 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","89","Update user - ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 18:00:10 GMT 2025","passed","Tue Jun 03 18:00:10 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","182","Weak password - Change password","QA|Nova Bank - Infopool","Tue Jun 03 17:59:44 GMT 2025","passed","Tue Jun 03 17:59:45 GMT 2025","v1 > Profile > Password","Bank User","",""
"","149","Get events - invalid end date","QA|Nova Bank - Infopool","Tue Jun 03 17:59:46 GMT 2025","passed","Tue Jun 03 17:59:47 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","81","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Tue Jun 03 17:59:56 GMT 2025","passed","Tue Jun 03 17:59:57 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","80","Delete Customer Comment","QA|Nova Bank - Infopool","Tue Jun 03 17:59:57 GMT 2025","failed","Tue Jun 03 17:59:58 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","97","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Tue Jun 03 18:00:12 GMT 2025","passed","Tue Jun 03 18:00:12 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","86","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Tue Jun 03 17:59:42 GMT 2025","passed","Tue Jun 03 17:59:42 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","126","Create  organization","QA|Nova Bank - Infopool","Tue Jun 03 18:00:11 GMT 2025","passed","Tue Jun 03 18:00:11 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","91","Fetch all users in an organization","QA|Nova Bank - Infopool","Tue Jun 03 18:00:14 GMT 2025","passed","Tue Jun 03 18:00:14 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","91","managers","QA|Nova Bank - Infopool","Tue Jun 03 18:00:15 GMT 2025","passed","Tue Jun 03 18:00:15 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","132","Get all Issues","QA|Nova Bank - Infopool","Tue Jun 03 17:59:52 GMT 2025","failed","Tue Jun 03 17:59:52 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","80","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Tue Jun 03 18:00:13 GMT 2025","failed","Tue Jun 03 18:00:13 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","123","Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue Jun 03 17:59:43 GMT 2025","passed","Tue Jun 03 17:59:43 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","78","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Tue Jun 03 18:00:14 GMT 2025","passed","Tue Jun 03 18:00:14 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","82","Fetch Customer Comments","QA|Nova Bank - Infopool","Tue Jun 03 17:59:57 GMT 2025","failed","Tue Jun 03 17:59:57 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","85","Add attachment to issue","QA|Nova Bank - Infopool","Tue Jun 03 17:59:56 GMT 2025","failed","Tue Jun 03 17:59:56 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","83","Update profile - no auth","QA|Nova Bank - Infopool","Tue Jun 03 17:59:45 GMT 2025","passed","Tue Jun 03 17:59:45 GMT 2025","v1 > Profile > Update profile","Bank User","",""
