"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","Add user to an organization - no auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:11 UTC 2025","failed","Wed Oct 15 18:49:11 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","91","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:14 UTC 2025","passed","Wed Oct 15 18:49:14 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","91","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Wed Oct 15 18:49:12 UTC 2025","failed","Wed Oct 15 18:49:12 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","94","Empty fields - Update definition","QA|Nova Bank - Infopool","Wed Oct 15 18:49:00 UTC 2025","failed","Wed Oct 15 18:49:00 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","95","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Wed Oct 15 18:49:03 UTC 2025","failed","Wed Oct 15 18:49:03 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","91","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Wed Oct 15 18:48:49 UTC 2025","failed","Wed Oct 15 18:48:49 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","91","Delete Customer Comment","QA|Nova Bank - Infopool","Wed Oct 15 18:48:56 UTC 2025","failed","Wed Oct 15 18:48:57 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","91","Get events - no auth","QA|Nova Bank - Infopool","Wed Oct 15 18:48:46 UTC 2025","passed","Wed Oct 15 18:48:46 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","93","Create organization - no name","QA|Nova Bank - Infopool","Wed Oct 15 18:49:01 UTC 2025","failed","Wed Oct 15 18:49:02 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","6248","Invalid email format","QA|Nova Bank - Infopool","Wed Oct 15 18:48:36 UTC 2025","failed","Wed Oct 15 18:48:42 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","91","No auth - Update role status","QA|Nova Bank - Infopool","Wed Oct 15 18:49:12 UTC 2025","failed","Wed Oct 15 18:49:12 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
