"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","passed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","47","Create organization - no name","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","passed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","39","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:47:14 GMT 2025","passed","Thu Jun 05 15:47:14 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","46","Update profile - Invalid file size","QA|Nova Bank - Infopool","Thu Jun 05 15:47:15 GMT 2025","passed","Thu Jun 05 15:47:15 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","49","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","passed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","39","Get profile - user not logged in","QA|Nova Bank - Infopool","Thu Jun 05 15:47:15 GMT 2025","passed","Thu Jun 05 15:47:15 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","48","Create organization - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","passed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","57","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:47:34 GMT 2025","failed","Thu Jun 05 15:47:34 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","39","Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 15:47:18 GMT 2025","failed","Thu Jun 05 15:47:18 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","51","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","passed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","47","No user credentials","QA|Nova Bank - Infopool","Thu Jun 05 15:47:13 GMT 2025","passed","Thu Jun 05 15:47:13 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
