"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","86","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Tue Jun 03 10:59:24 GMT 2025","passed","Tue Jun 03 10:59:24 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","92","Empty fields - Update definition","QA|Nova Bank - Infopool","Tue Jun 03 10:59:32 GMT 2025","passed","Tue Jun 03 10:59:32 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","88","Update user - invalid action","QA|Nova Bank - Infopool","Tue Jun 03 10:59:36 GMT 2025","failed","Tue Jun 03 10:59:36 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","86","Fetch Customer Comments","QA|Nova Bank - Infopool","Tue Jun 03 10:59:23 GMT 2025","failed","Tue Jun 03 10:59:23 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","82","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Tue Jun 03 10:59:40 GMT 2025","passed","Tue Jun 03 10:59:40 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","85","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 10:59:33 GMT 2025","failed","Tue Jun 03 10:59:33 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","86","Get Reports - No auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:46 GMT 2025","passed","Tue Jun 03 10:59:47 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","84","Add attachment to issue","QA|Nova Bank - Infopool","Tue Jun 03 10:59:23 GMT 2025","failed","Tue Jun 03 10:59:23 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","136","verifyOTP","QA|Nova Bank - Infopool","Tue Jun 03 10:59:07 GMT 2025","passed","Tue Jun 03 10:59:08 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","96","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 10:59:38 GMT 2025","passed","Tue Jun 03 10:59:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","92","Update profile - invalid phone number","QA|Nova Bank - Infopool","Tue Jun 03 10:59:11 GMT 2025","passed","Tue Jun 03 10:59:11 GMT 2025","v1 > Profile > Update profile","Bank User","",""
