"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","958","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:51:13 GMT 2025","passed","Sun Jun 08 20:51:14 GMT 2025","v1 > Profile > Password","Bank User","",""
"","65","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:51:25 GMT 2025","failed","Sun Jun 08 20:51:26 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","25","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","26","Create roles","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","102","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Jun 08 20:51:16 GMT 2025","passed","Sun Jun 08 20:51:16 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","22","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","25","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","25","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","38","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 20:51:22 GMT 2025","passed","Sun Jun 08 20:51:22 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","38","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:51:12 GMT 2025","passed","Sun Jun 08 20:51:12 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","25","No auth - Update role status","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","40","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 20:51:14 GMT 2025","passed","Sun Jun 08 20:51:14 GMT 2025","v1 > Profile > Password","Bank User","",""
"","26","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","24","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","26","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","66211","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 20:51:31 GMT 2025","passed","Sun Jun 08 20:52:37 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","25","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","26","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","116","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:51:19 GMT 2025","passed","Sun Jun 08 20:51:19 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","85","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:51:16 GMT 2025","passed","Sun Jun 08 20:51:16 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","23","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 20:52:37 GMT 2025","passed","Sun Jun 08 20:52:37 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","40","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 20:51:26 GMT 2025","passed","Sun Jun 08 20:51:26 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","138","Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 20:51:26 GMT 2025","passed","Sun Jun 08 20:51:26 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","25","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
