"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a paginated list of reports with optional filtering","83","Get Reports - No auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:59 GMT 2025","passed","Tue Jun 03 12:16:59 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","83","Export Report Data - No auth","QA|Nova Bank - Infopool","Tue Jun 03 12:17:06 GMT 2025","passed","Tue Jun 03 12:17:06 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","89","Update profile - invalid phone number","QA|Nova Bank - Infopool","Tue Jun 03 12:16:24 GMT 2025","passed","Tue Jun 03 12:16:25 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","94","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Tue Jun 03 12:16:52 GMT 2025","passed","Tue Jun 03 12:16:52 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","89","Update Customer Comment","QA|Nova Bank - Infopool","Tue Jun 03 12:16:36 GMT 2025","failed","Tue Jun 03 12:16:36 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","81","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:46 GMT 2025","passed","Tue Jun 03 12:16:46 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Create a new report","91","Create Report - Empty category","QA|Nova Bank - Infopool","Tue Jun 03 12:17:04 GMT 2025","failed","Tue Jun 03 12:17:04 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","82","No Auth - Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 12:16:37 GMT 2025","passed","Tue Jun 03 12:16:37 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","80","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Tue Jun 03 12:16:45 GMT 2025","failed","Tue Jun 03 12:16:45 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","109","verify OTP","QA|Nova Bank - Infopool","Tue Jun 03 12:16:22 GMT 2025","passed","Tue Jun 03 12:16:22 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","114","Get permission by ID - No auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:55 GMT 2025","passed","Tue Jun 03 12:16:55 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","84","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 12:16:38 GMT 2025","failed","Tue Jun 03 12:16:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","85","Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:36 GMT 2025","failed","Tue Jun 03 12:16:36 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","83","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:53 GMT 2025","passed","Tue Jun 03 12:16:53 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","94","Get all permissions","QA|Nova Bank - Infopool","Tue Jun 03 12:16:55 GMT 2025","passed","Tue Jun 03 12:16:55 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","6928","Successful login","QA|Nova Bank - Infopool","Tue Jun 03 12:16:14 GMT 2025","passed","Tue Jun 03 12:16:20 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
