"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Get role by ID - no auth","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","passed","Tue May 27 23:57:10 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Delete a report (soft delete)","33","Delete Report","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","33","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","failed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","97","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Tue May 27 23:57:00 GMT 2025","passed","Tue May 27 23:57:00 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get a paginated list of reports with optional filtering","38","Get Reports","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","34","Remove user from an organization - successful","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","failed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","36","Update user - empty action field","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","failed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","34","Empty current password - Change password","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","failed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get a paginated list of reports with optional filtering","37","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","33","Get Report Data - No auth","QA|Nova Bank - Infopool","Tue May 27 23:57:12 GMT 2025","passed","Tue May 27 23:57:12 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
