"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","332","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 22:53:10 GMT 2025","passed","Sun Jun 08 22:53:10 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","80","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 22:54:46 GMT 2025","passed","Sun Jun 08 22:54:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","Create organization - no name","QA|Nova Bank - Infopool","Sun Jun 08 22:54:46 GMT 2025","passed","Sun Jun 08 22:54:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","919","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:52:56 GMT 2025","passed","Sun Jun 08 22:52:57 GMT 2025","v1 > Profile > Password","Bank User","",""
"","332","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 22:53:27 GMT 2025","passed","Sun Jun 08 22:53:28 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","78","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Jun 08 22:54:47 GMT 2025","passed","Sun Jun 08 22:54:47 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","990","reset password","QA|Nova Bank - Infopool","Sun Jun 08 22:52:53 GMT 2025","passed","Sun Jun 08 22:52:54 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","641","Get profile - successfully","QA|Nova Bank - Infopool","Sun Jun 08 22:52:59 GMT 2025","passed","Sun Jun 08 22:53:00 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","1571","Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:53:12 GMT 2025","passed","Sun Jun 08 22:53:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","162","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 22:53:28 GMT 2025","passed","Sun Jun 08 22:53:28 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","126","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:54:48 GMT 2025","passed","Sun Jun 08 22:54:48 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","103","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Jun 08 22:53:08 GMT 2025","passed","Sun Jun 08 22:53:09 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","155","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:53:11 GMT 2025","passed","Sun Jun 08 22:53:11 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","158","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 22:53:08 GMT 2025","passed","Sun Jun 08 22:53:08 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","80","Health","QA|Nova Bank - Infopool","Sun Jun 08 22:54:43 GMT 2025","passed","Sun Jun 08 22:54:43 GMT 2025","v1 > Health","Bank Admin","",""
"","140","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 22:54:49 GMT 2025","passed","Sun Jun 08 22:54:49 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","347","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:54:58 GMT 2025","passed","Sun Jun 08 22:54:58 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","79","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:54:44 GMT 2025","passed","Sun Jun 08 22:54:44 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","3156","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 08 22:54:54 GMT 2025","passed","Sun Jun 08 22:54:58 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","244","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:54:51 GMT 2025","passed","Sun Jun 08 22:54:51 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","80","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 22:54:44 GMT 2025","passed","Sun Jun 08 22:54:44 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","276","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:52:55 GMT 2025","failed","Sun Jun 08 22:52:56 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","79","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 22:54:44 GMT 2025","passed","Sun Jun 08 22:54:45 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","85","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 22:53:27 GMT 2025","passed","Sun Jun 08 22:53:27 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","144","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 22:53:26 GMT 2025","passed","Sun Jun 08 22:53:26 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","81","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:54:44 GMT 2025","passed","Sun Jun 08 22:54:44 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","954","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 22:54:48 GMT 2025","passed","Sun Jun 08 22:54:49 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","110","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 22:53:27 GMT 2025","passed","Sun Jun 08 22:53:27 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","156","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:52:55 GMT 2025","passed","Sun Jun 08 22:52:55 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","129","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 22:52:57 GMT 2025","passed","Sun Jun 08 22:52:57 GMT 2025","v1 > Profile > Password","Bank User","",""
"","80","Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 22:54:44 GMT 2025","passed","Sun Jun 08 22:54:44 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","80","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 22:54:45 GMT 2025","passed","Sun Jun 08 22:54:45 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","163","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:53:11 GMT 2025","passed","Sun Jun 08 22:53:11 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
