"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","714","verifyOTP","QA|Nova Bank - Infopool","Fri Aug 22 18:57:03 UTC 2025","passed","Fri Aug 22 18:57:03 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","106","Get all definitions","QA|Nova Bank - Infopool","Fri Aug 22 18:57:33 UTC 2025","passed","Fri Aug 22 18:57:33 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","83","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri Aug 22 18:57:33 UTC 2025","failed","Fri Aug 22 18:57:34 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","122","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Aug 22 18:57:26 UTC 2025","failed","Fri Aug 22 18:57:26 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","83","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Aug 22 18:57:39 UTC 2025","passed","Fri Aug 22 18:57:39 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","83","Get events - no auth","QA|Nova Bank - Infopool","Fri Aug 22 18:57:08 UTC 2025","passed","Fri Aug 22 18:57:08 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","82","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Aug 22 18:57:34 UTC 2025","passed","Fri Aug 22 18:57:34 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","93","Empty current password - Change password","QA|Nova Bank - Infopool","Fri Aug 22 18:57:06 UTC 2025","passed","Fri Aug 22 18:57:06 UTC 2025","v1 > Profile > Password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","86","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Aug 22 18:57:05 UTC 2025","passed","Fri Aug 22 18:57:05 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","83","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Fri Aug 22 18:57:19 UTC 2025","passed","Fri Aug 22 18:57:19 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","97","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Aug 22 18:57:34 UTC 2025","passed","Fri Aug 22 18:57:34 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","122","verify OTP","QA|Nova Bank - Infopool","Fri Aug 22 18:57:05 UTC 2025","passed","Fri Aug 22 18:57:05 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","85","No Auth - Update definition","QA|Nova Bank - Infopool","Fri Aug 22 18:57:34 UTC 2025","passed","Fri Aug 22 18:57:34 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","87","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Aug 22 18:57:08 UTC 2025","passed","Fri Aug 22 18:57:08 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","248","Forgot password - successful","QA|Nova Bank - Infopool","Fri Aug 22 18:57:03 UTC 2025","failed","Fri Aug 22 18:57:04 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","85","Health","QA|Nova Bank - Infopool","Fri Aug 22 18:57:33 UTC 2025","failed","Fri Aug 22 18:57:33 UTC 2025","v1 > Health","Bank Admin","",""
