"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a specific report by ID","34","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 22:52:41 GMT 2025","passed","Thu Jun 05 22:52:41 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","35","Create organization - empty mis code","QA|Nova Bank - Infopool","Thu Jun 05 22:52:39 GMT 2025","passed","Thu Jun 05 22:52:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","36","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Thu Jun 05 22:52:39 GMT 2025","passed","Thu Jun 05 22:52:39 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","34","No Auth - Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 22:52:37 GMT 2025","passed","Thu Jun 05 22:52:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","36","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 22:52:39 GMT 2025","passed","Thu Jun 05 22:52:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","104","Get profile - successfully","QA|Nova Bank - Infopool","Thu Jun 05 22:51:17 GMT 2025","passed","Thu Jun 05 22:51:18 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","38","Get profile roles - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 22:51:17 GMT 2025","passed","Thu Jun 05 22:51:17 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","34","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 22:52:39 GMT 2025","passed","Thu Jun 05 22:52:40 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"Get a specific report by ID","34","Get Report by ID","QA|Nova Bank - Infopool","Thu Jun 05 22:52:41 GMT 2025","passed","Thu Jun 05 22:52:41 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","35","Get permission by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 22:52:40 GMT 2025","passed","Thu Jun 05 22:52:40 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","35","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Thu Jun 05 22:52:39 GMT 2025","passed","Thu Jun 05 22:52:39 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Thu Jun 05 22:52:37 GMT 2025","passed","Thu Jun 05 22:52:37 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","53","Update profile","QA|Nova Bank - Infopool","Thu Jun 05 22:51:18 GMT 2025","failed","Thu Jun 05 22:51:18 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","35","Create organization - no country ID","QA|Nova Bank - Infopool","Thu Jun 05 22:52:39 GMT 2025","passed","Thu Jun 05 22:52:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","41","No Auth - Change password","QA|Nova Bank - Infopool","Thu Jun 05 22:51:17 GMT 2025","passed","Thu Jun 05 22:51:17 GMT 2025","v1 > Profile > Password","Bank User","",""
"","33","No Auth - Get all permissions","QA|Nova Bank - Infopool","Thu Jun 05 22:52:40 GMT 2025","passed","Thu Jun 05 22:52:40 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","39","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 22:51:19 GMT 2025","passed","Thu Jun 05 22:51:19 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","36","Create roles - No auth","QA|Nova Bank - Infopool","Thu Jun 05 22:52:40 GMT 2025","passed","Thu Jun 05 22:52:40 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
