"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","124","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Nov 30 20:12:19 UTC 2025","broken","Sun Nov 30 20:12:19 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","126","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:33 UTC 2025","broken","Sun Nov 30 20:12:33 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Update an existing report","125","Update Report","QA|Nova Bank - Infopool","Sun Nov 30 20:12:37 UTC 2025","broken","Sun Nov 30 20:12:37 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"Get a specific report by ID","125","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:35 UTC 2025","broken","Sun Nov 30 20:12:36 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","409","Successful login","QA|Nova Bank - Infopool","Sun Nov 30 20:12:08 UTC 2025","broken","Sun Nov 30 20:12:09 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","128","Logout session successfully","QA|Nova Bank - Infopool","Sun Nov 30 20:12:34 UTC 2025","broken","Sun Nov 30 20:12:34 UTC 2025","v1 > Logout","Bank Admin","",""
"","126","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Sun Nov 30 20:12:38 UTC 2025","broken","Sun Nov 30 20:12:39 UTC 2025","","corporate Adjustment","",""
"","129","No auth - category by id","QA|Nova Bank - Infopool","Sun Nov 30 20:12:34 UTC 2025","broken","Sun Nov 30 20:12:34 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","130","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Nov 30 20:12:17 UTC 2025","broken","Sun Nov 30 20:12:17 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","125","Search Customers","QA|Nova Bank - Infopool","Sun Nov 30 20:12:20 UTC 2025","broken","Sun Nov 30 20:12:20 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","135","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Nov 30 20:12:12 UTC 2025","broken","Sun Nov 30 20:12:13 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","141","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Nov 30 20:12:10 UTC 2025","broken","Sun Nov 30 20:12:10 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","135","category by id","QA|Nova Bank - Infopool","Sun Nov 30 20:12:34 UTC 2025","broken","Sun Nov 30 20:12:34 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","127","Get roles - successful","QA|Nova Bank - Infopool","Sun Nov 30 20:12:31 UTC 2025","broken","Sun Nov 30 20:12:31 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
