"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Wed May 28 00:18:42 GMT 2025","passed","Wed May 28 00:18:42 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","49","managers","QA|Nova Bank - Infopool","Wed May 28 00:18:44 GMT 2025","passed","Wed May 28 00:18:44 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","36","Add Comment to Issue","QA|Nova Bank - Infopool","Wed May 28 00:18:31 GMT 2025","failed","Wed May 28 00:18:31 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","34","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed May 28 00:18:31 GMT 2025","passed","Wed May 28 00:18:31 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Create a new report","34","Create Report - No auth","QA|Nova Bank - Infopool","Wed May 28 00:18:46 GMT 2025","passed","Wed May 28 00:18:46 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","72","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:18:28 GMT 2025","failed","Wed May 28 00:18:28 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","34","No auth - Update role status","QA|Nova Bank - Infopool","Wed May 28 00:18:45 GMT 2025","passed","Wed May 28 00:18:45 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","37","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:18:30 GMT 2025","passed","Wed May 28 00:18:30 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","98","audit trail","QA|Nova Bank - Infopool","Wed May 28 00:18:29 GMT 2025","passed","Wed May 28 00:18:29 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","74","Update organization details by ID - successful","QA|Nova Bank - Infopool","Wed May 28 00:18:43 GMT 2025","passed","Wed May 28 00:18:43 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
