"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","No auth - Create  organization","QA|Nova Bank - Infopool","Fri May 30 17:46:40 GMT 2025","passed","Fri May 30 17:46:40 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","38","Get Reports Stats","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","failed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","37","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri May 30 17:46:35 GMT 2025","failed","Fri May 30 17:46:35 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","53","Fetch all users","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","passed","Fri May 30 17:46:39 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","136","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri May 30 17:46:31 GMT 2025","passed","Fri May 30 17:46:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"","108","Export Report Data","QA|Nova Bank - Infopool","Fri May 30 17:46:50 GMT 2025","failed","Fri May 30 17:46:50 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","37","Health","QA|Nova Bank - Infopool","Fri May 30 17:46:38 GMT 2025","passed","Fri May 30 17:46:38 GMT 2025","v1 > Health","Bank Admin","",""
"","78","audit trail","QA|Nova Bank - Infopool","Fri May 30 17:46:33 GMT 2025","passed","Fri May 30 17:46:33 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get a specific report by ID","35","Get Report by UUID","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","failed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","37","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","failed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","40","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 17:46:33 GMT 2025","passed","Fri May 30 17:46:33 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","49","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri May 30 17:46:47 GMT 2025","passed","Fri May 30 17:46:47 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","37","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri May 30 17:46:35 GMT 2025","failed","Fri May 30 17:46:35 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","210","reset password","QA|Nova Bank - Infopool","Fri May 30 17:46:30 GMT 2025","passed","Fri May 30 17:46:30 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","37","Create organization - empty street value","QA|Nova Bank - Infopool","Fri May 30 17:46:40 GMT 2025","failed","Fri May 30 17:46:40 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","123","Add Comment to Issue","QA|Nova Bank - Infopool","Fri May 30 17:46:34 GMT 2025","passed","Fri May 30 17:46:34 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","45","Create organization - empty description","QA|Nova Bank - Infopool","Fri May 30 17:46:40 GMT 2025","passed","Fri May 30 17:46:40 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","39","Get Reports","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","failed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","52","Create  organization","QA|Nova Bank - Infopool","Fri May 30 17:46:40 GMT 2025","failed","Fri May 30 17:46:40 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Create a new report","40","Create Report - Empty category","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","failed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","35","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri May 30 17:46:38 GMT 2025","passed","Fri May 30 17:46:38 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","39","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri May 30 17:46:35 GMT 2025","failed","Fri May 30 17:46:35 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get a specific report by ID","35","Get Report by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","passed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
