"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 22 20:11:31 GMT 2025","passed","Sun Jun 22 20:11:31 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","48","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 22 20:11:06 GMT 2025","passed","Sun Jun 22 20:11:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","45","No auth - update role","QA|Nova Bank - Infopool","Sun Jun 22 20:11:25 GMT 2025","passed","Sun Jun 22 20:11:25 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","450","reset password","QA|Nova Bank - Infopool","Sun Jun 22 20:11:02 GMT 2025","passed","Sun Jun 22 20:11:02 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","52","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Jun 22 20:11:06 GMT 2025","passed","Sun Jun 22 20:11:06 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","56","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Jun 22 20:11:29 GMT 2025","passed","Sun Jun 22 20:11:29 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","46","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 22 20:11:03 GMT 2025","passed","Sun Jun 22 20:11:03 GMT 2025","v1 > Profile > Roles","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","48","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 22 20:11:02 GMT 2025","passed","Sun Jun 22 20:11:02 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","142","Weak password - Change password","QA|Nova Bank - Infopool","Sun Jun 22 20:11:03 GMT 2025","passed","Sun Jun 22 20:11:03 GMT 2025","v1 > Profile > Password","Bank User","",""
"","479","Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 22 20:11:06 GMT 2025","passed","Sun Jun 22 20:11:06 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","85","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Jun 22 20:11:20 GMT 2025","failed","Sun Jun 22 20:11:20 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","47","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Jun 22 20:11:04 GMT 2025","passed","Sun Jun 22 20:11:04 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","3115","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 22 20:11:22 GMT 2025","passed","Sun Jun 22 20:11:25 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","57","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Jun 22 20:11:04 GMT 2025","passed","Sun Jun 22 20:11:04 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","97","audit trail","QA|Nova Bank - Infopool","Sun Jun 22 20:11:05 GMT 2025","passed","Sun Jun 22 20:11:05 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","925","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 22 20:11:16 GMT 2025","passed","Sun Jun 22 20:11:17 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","52","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 22 20:11:01 GMT 2025","passed","Sun Jun 22 20:11:01 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","50","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 22 20:11:02 GMT 2025","passed","Sun Jun 22 20:11:02 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","86","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 22 20:11:14 GMT 2025","failed","Sun Jun 22 20:11:14 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","47","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 22 20:11:21 GMT 2025","passed","Sun Jun 22 20:11:21 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","47","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Jun 22 20:11:30 GMT 2025","failed","Sun Jun 22 20:11:30 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","65","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 22 20:11:07 GMT 2025","passed","Sun Jun 22 20:11:07 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","50","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 22 20:11:02 GMT 2025","passed","Sun Jun 22 20:11:02 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","135","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jun 22 20:11:03 GMT 2025","passed","Sun Jun 22 20:11:03 GMT 2025","v1 > Profile > Password","Bank User","",""
"","58","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 22 20:11:03 GMT 2025","passed","Sun Jun 22 20:11:03 GMT 2025","v1 > Profile > Password","Bank User","",""
"","46","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 22 20:11:30 GMT 2025","passed","Sun Jun 22 20:11:30 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","60","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 22 20:11:21 GMT 2025","passed","Sun Jun 22 20:11:21 GMT 2025","v1 > Users > Update user","Bank Admin","",""
