"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","Forgot password - successful","QA|Nova Bank - Infopool","Wed Jan 07 18:55:34 UTC 2026","broken","Wed Jan 07 18:55:34 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","94","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Wed Jan 07 18:55:38 UTC 2026","broken","Wed Jan 07 18:55:38 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","127","audit trail - No Auth","QA|Nova Bank - Infopool","Wed Jan 07 18:55:37 UTC 2026","broken","Wed Jan 07 18:55:37 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","63","Get roles - successful","QA|Nova Bank - Infopool","Wed Jan 07 18:55:46 UTC 2026","broken","Wed Jan 07 18:55:46 UTC 2026","v1 > Roles > Get roles","Bank Admin","",""
"","65","Search Customers","QA|Nova Bank - Infopool","Wed Jan 07 18:55:40 UTC 2026","broken","Wed Jan 07 18:55:40 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","67","Update user - empty action field","QA|Nova Bank - Infopool","Wed Jan 07 18:55:43 UTC 2026","broken","Wed Jan 07 18:55:43 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","66","Create  organization","QA|Nova Bank - Infopool","Wed Jan 07 18:55:43 UTC 2026","broken","Wed Jan 07 18:55:43 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","64","Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Jan 07 18:55:41 UTC 2026","broken","Wed Jan 07 18:55:41 UTC 2026","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","63","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Jan 07 18:55:40 UTC 2026","broken","Wed Jan 07 18:55:40 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","78","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Jan 07 18:55:35 UTC 2026","broken","Wed Jan 07 18:55:35 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","67","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Jan 07 18:55:45 UTC 2026","broken","Wed Jan 07 18:55:45 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","64","Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Jan 07 18:55:45 UTC 2026","broken","Wed Jan 07 18:55:45 UTC 2026","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","82","Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Jan 07 18:55:35 UTC 2026","broken","Wed Jan 07 18:55:35 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","60","resend_invitation_toUser","QA|Nova Bank - Infopool","Wed Jan 07 18:55:38 UTC 2026","broken","Wed Jan 07 18:55:38 UTC 2026","v1 > Onboarding > Validate invitation","Bank User","",""
"","64","Send user invitation token - successful","QA|Nova Bank - Infopool","Wed Jan 07 18:55:38 UTC 2026","broken","Wed Jan 07 18:55:38 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","61","Search Customers","QA|Nova Bank - Infopool","Wed Jan 07 18:55:40 UTC 2026","broken","Wed Jan 07 18:55:40 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Get a paginated list of reports with optional filtering","62","Get Reports Stats","QA|Nova Bank - Infopool","Wed Jan 07 18:55:48 UTC 2026","broken","Wed Jan 07 18:55:48 UTC 2026","v1 > Report > Get Report Stats","Bank Admin","",""
"","62","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Wed Jan 07 18:55:42 UTC 2026","broken","Wed Jan 07 18:55:42 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","63","No Auth - Change password","QA|Nova Bank - Infopool","Wed Jan 07 18:55:36 UTC 2026","broken","Wed Jan 07 18:55:36 UTC 2026","v1 > Profile > Password","Bank User","",""
"","94","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Wed Jan 07 18:55:37 UTC 2026","broken","Wed Jan 07 18:55:38 UTC 2026","v1 > Onboarding > Validate invitation","Bank User","",""
"","69","Create_issue_without_attachment","QA|Nova Bank - Infopool","Wed Jan 07 18:55:38 UTC 2026","broken","Wed Jan 07 18:55:39 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","64","Get all permissions","QA|Nova Bank - Infopool","Wed Jan 07 18:55:47 UTC 2026","broken","Wed Jan 07 18:55:47 UTC 2026","v1 > Permissions > Get permissions","Bank Admin","",""
"","65","Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed Jan 07 18:55:41 UTC 2026","broken","Wed Jan 07 18:55:41 UTC 2026","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
