"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a paginated list of reports with optional filtering","36","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","passed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","49","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri May 30 16:59:59 GMT 2025","passed","Fri May 30 16:59:59 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","40","Get Report Data - Question","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","failed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","44","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 16:59:44 GMT 2025","passed","Fri May 30 16:59:44 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","36","Create organization - empty street value","QA|Nova Bank - Infopool","Fri May 30 17:00:06 GMT 2025","failed","Fri May 30 17:00:06 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri May 30 17:00:07 GMT 2025","failed","Fri May 30 17:00:07 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","34","Get permission by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 17:00:08 GMT 2025","passed","Fri May 30 17:00:08 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","37","No Auth - Update definition","QA|Nova Bank - Infopool","Fri May 30 16:59:58 GMT 2025","passed","Fri May 30 16:59:58 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Get a specific report by ID","36","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","failed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","36","No auth - get user role","QA|Nova Bank - Infopool","Fri May 30 16:59:59 GMT 2025","passed","Fri May 30 16:59:59 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","139","Get events - successful","QA|Nova Bank - Infopool","Fri May 30 16:59:52 GMT 2025","passed","Fri May 30 16:59:52 GMT 2025","v1 > Audit trail > Event","Bank User","",""
