"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","136","audit trail","QA|Nova Bank - Infopool","Sun Feb 22 20:14:37 UTC 2026","broken","Sun Feb 22 20:14:37 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"Get a paginated list of reports with optional filtering","142","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:59 UTC 2026","broken","Sun Feb 22 20:14:59 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"","145","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Sun Feb 22 20:15:03 UTC 2026","broken","Sun Feb 22 20:15:03 UTC 2026","","corporate Adjustment","",""
"","142","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:52 UTC 2026","broken","Sun Feb 22 20:14:52 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","137","successful dashboard embed","QA|Nova Bank - Infopool","Sun Feb 22 20:14:46 UTC 2026","broken","Sun Feb 22 20:14:46 UTC 2026","embed dashboard","Bank User","",""
"","138","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Feb 22 20:14:52 UTC 2026","broken","Sun Feb 22 20:14:53 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","143","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Feb 22 20:14:37 UTC 2026","broken","Sun Feb 22 20:14:38 UTC 2026","v1 > Onboarding > Validate invitation","Bank User","",""
"","141","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Feb 22 20:14:42 UTC 2026","broken","Sun Feb 22 20:14:42 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get a specific report by ID","136","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sun Feb 22 20:15:00 UTC 2026","broken","Sun Feb 22 20:15:00 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"","136","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Feb 22 20:14:52 UTC 2026","broken","Sun Feb 22 20:14:52 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
