"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56","Add Comment to Issue","QA|Nova Bank - Infopool","Wed Nov 19 18:48:30 UTC 2025","broken","Wed Nov 19 18:48:30 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","136","No user credentials","QA|Nova Bank - Infopool","Wed Nov 19 18:48:25 UTC 2025","broken","Wed Nov 19 18:48:25 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","54","Get roles - No Auth","QA|Nova Bank - Infopool","Wed Nov 19 18:48:35 UTC 2025","broken","Wed Nov 19 18:48:36 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","127","reset password","QA|Nova Bank - Infopool","Wed Nov 19 18:48:26 UTC 2025","broken","Wed Nov 19 18:48:26 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","56","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Nov 19 18:48:30 UTC 2025","broken","Wed Nov 19 18:48:30 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","53","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Nov 19 18:48:30 UTC 2025","broken","Wed Nov 19 18:48:30 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","53","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed Nov 19 18:48:32 UTC 2025","broken","Wed Nov 19 18:48:32 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","84","Update profile - no auth","QA|Nova Bank - Infopool","Wed Nov 19 18:48:27 UTC 2025","broken","Wed Nov 19 18:48:27 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","54","No auth - category by id","QA|Nova Bank - Infopool","Wed Nov 19 18:48:36 UTC 2025","broken","Wed Nov 19 18:48:37 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","133","No email - Forgot Password","QA|Nova Bank - Infopool","Wed Nov 19 18:48:25 UTC 2025","broken","Wed Nov 19 18:48:26 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","89","Get profile roles - No Auth","QA|Nova Bank - Infopool","Wed Nov 19 18:48:27 UTC 2025","broken","Wed Nov 19 18:48:27 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","88","Get events - successful","QA|Nova Bank - Infopool","Wed Nov 19 18:48:28 UTC 2025","broken","Wed Nov 19 18:48:28 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","54","Create organization - empty city value","QA|Nova Bank - Infopool","Wed Nov 19 18:48:34 UTC 2025","broken","Wed Nov 19 18:48:34 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","55","Create organization - no country ID","QA|Nova Bank - Infopool","Wed Nov 19 18:48:34 UTC 2025","broken","Wed Nov 19 18:48:34 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
