"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:05:22 GMT 2025","passed","Sun Jun 08 21:05:22 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","77","get user role","QA|Nova Bank - Infopool","Sun Jun 08 21:05:19 GMT 2025","passed","Sun Jun 08 21:05:19 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","76","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 08 21:05:23 GMT 2025","passed","Sun Jun 08 21:05:23 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","79","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:05:21 GMT 2025","passed","Sun Jun 08 21:05:21 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","74","Health","QA|Nova Bank - Infopool","Sun Jun 08 21:05:18 GMT 2025","passed","Sun Jun 08 21:05:18 GMT 2025","v1 > Health","Bank Admin","",""
"","83","Get events - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:03:50 GMT 2025","passed","Sun Jun 08 21:03:50 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get a paginated list of reports with optional filtering","135","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:05:31 GMT 2025","passed","Sun Jun 08 21:05:32 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","144","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 21:03:49 GMT 2025","passed","Sun Jun 08 21:03:49 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","144","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:04:03 GMT 2025","failed","Sun Jun 08 21:04:04 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","156","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 21:03:55 GMT 2025","passed","Sun Jun 08 21:03:56 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","141","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:04:00 GMT 2025","failed","Sun Jun 08 21:04:00 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","78","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:05:18 GMT 2025","passed","Sun Jun 08 21:05:18 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","160","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:03:42 GMT 2025","passed","Sun Jun 08 21:03:42 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","77","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:05:21 GMT 2025","passed","Sun Jun 08 21:05:21 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","94","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:03:41 GMT 2025","passed","Sun Jun 08 21:03:41 GMT 2025","v1 > Profile > Password","Bank User","",""
"","154","Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:03:59 GMT 2025","failed","Sun Jun 08 21:03:59 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","78","Update user - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:05:19 GMT 2025","passed","Sun Jun 08 21:05:19 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","569","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:03:37 GMT 2025","passed","Sun Jun 08 21:03:37 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","3837","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:03:42 GMT 2025","passed","Sun Jun 08 21:03:46 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","158","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:03:54 GMT 2025","passed","Sun Jun 08 21:03:54 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","145","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 21:03:35 GMT 2025","passed","Sun Jun 08 21:03:35 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","85","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:03:52 GMT 2025","passed","Sun Jun 08 21:03:52 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","77","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 21:05:19 GMT 2025","passed","Sun Jun 08 21:05:19 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Delete a report (soft delete)","81","Delete Report","QA|Nova Bank - Infopool","Sun Jun 08 21:05:36 GMT 2025","failed","Sun Jun 08 21:05:36 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","1041","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 21:04:07 GMT 2025","passed","Sun Jun 08 21:04:08 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","913","Successful login","QA|Nova Bank - Infopool","Sun Jun 08 21:03:27 GMT 2025","passed","Sun Jun 08 21:03:28 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
