"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
"","46","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri May 30 20:06:26 GMT 2025","failed","Fri May 30 20:06:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","43","Update user - empty action field","QA|Nova Bank - Infopool","Fri May 30 20:06:25 GMT 2025","failed","Fri May 30 20:06:25 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","46","Get Issue by ID","QA|Nova Bank - Infopool","Fri May 30 20:06:13 GMT 2025","failed","Fri May 30 20:06:13 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","86","Update profile - successful","QA|Nova Bank - Infopool","Fri May 30 20:06:11 GMT 2025","passed","Fri May 30 20:06:11 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","46","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 20:06:12 GMT 2025","passed","Fri May 30 20:06:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","42","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri May 30 20:06:15 GMT 2025","passed","Fri May 30 20:06:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","40","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri May 30 20:06:27 GMT 2025","passed","Fri May 30 20:06:27 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","50","Update role status","QA|Nova Bank - Infopool","Fri May 30 20:06:28 GMT 2025","passed","Fri May 30 20:06:28 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","88","audit trail","QA|Nova Bank - Infopool","Fri May 30 20:06:12 GMT 2025","passed","Fri May 30 20:06:12 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","131","Weak password - Change password","QA|Nova Bank - Infopool","Fri May 30 20:06:10 GMT 2025","passed","Fri May 30 20:06:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"","43","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri May 30 20:06:14 GMT 2025","failed","Fri May 30 20:06:15 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","43","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri May 30 20:06:14 GMT 2025","failed","Fri May 30 20:06:14 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","49","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri May 30 20:06:12 GMT 2025","passed","Fri May 30 20:06:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","3148","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri May 30 20:06:18 GMT 2025","passed","Fri May 30 20:06:21 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","49","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 20:06:10 GMT 2025","passed","Fri May 30 20:06:10 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a paginated list of reports with optional filtering","42","Get Report Objects - Question","QA|Nova Bank - Infopool","Fri May 30 20:06:29 GMT 2025","failed","Fri May 30 20:06:29 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","46","Update Issue","QA|Nova Bank - Infopool","Fri May 30 20:06:14 GMT 2025","failed","Fri May 30 20:06:14 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","41","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri May 30 20:06:15 GMT 2025","failed","Fri May 30 20:06:15 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
