"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","126","Get Report Data - No auth","QA|Nova Bank - Infopool","Fri Nov 21 18:56:19 UTC 2025","broken","Fri Nov 21 18:56:19 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","141","Forgot password - successful","QA|Nova Bank - Infopool","Fri Nov 21 18:55:50 UTC 2025","broken","Fri Nov 21 18:55:50 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","125","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Fri Nov 21 18:56:19 UTC 2025","broken","Fri Nov 21 18:56:19 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","131","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Nov 21 18:56:04 UTC 2025","broken","Fri Nov 21 18:56:04 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","127","No Auth - Get all permissions","QA|Nova Bank - Infopool","Fri Nov 21 18:56:14 UTC 2025","broken","Fri Nov 21 18:56:14 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","132","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Nov 21 18:55:58 UTC 2025","broken","Fri Nov 21 18:55:58 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","129","Search Customers","QA|Nova Bank - Infopool","Fri Nov 21 18:56:01 UTC 2025","broken","Fri Nov 21 18:56:01 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","126","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri Nov 21 18:55:52 UTC 2025","broken","Fri Nov 21 18:55:52 UTC 2025","v1 > Profile > Password","Bank User","",""
"","129","Get profile - successfully","QA|Nova Bank - Infopool","Fri Nov 21 18:55:53 UTC 2025","broken","Fri Nov 21 18:55:53 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","125","Update profile - successful","QA|Nova Bank - Infopool","Fri Nov 21 18:55:53 UTC 2025","broken","Fri Nov 21 18:55:53 UTC 2025","v1 > Profile > Update profile","Bank User","",""
